epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5522,1.57539,3.27855,4.01327,0.03573,2.86059,0.69439,0.16667,0.17339,0.10168,0,0,0,0,2.90096,3.72964,8.80172,0.12319,0,8e-06,8e-06,0.092008
2,15.0923,1.63496,3.05779,3.81187,0.03495,2.41229,0.58256,0.16667,0.04961,0.01514,0,0,0,0,2.61358,4.10965,10.6229,0.11174,0,1.69997e-05,1.69997e-05,0.083017
3,16.5406,1.48481,3.1042,3.49142,0.03148,2.48956,0.50874,0.16667,0.01183,0.00692,0.0003,0.16667,0.00043,4e-05,2.92833,5.00063,8.7086,0.1311,0,2.59984e-05,2.59984e-05,0.074026
4,17.9578,1.34804,2.90125,3.01369,0.02984,1.95772,0.57643,0.16667,0.04288,0.02631,0.0012,0.16667,0.00728,0.00098,2.87798,4.80837,7.76941,0.11163,0,3.49952e-05,3.49952e-05,0.065035
5,19.4009,1.35594,2.76346,3.13259,0.0289,2.09782,0,0,0,0,0,0,0,0,2.28231,3.64392,10.2875,0.08027,0,4.39893e-05,4.39893e-05,0.056044
6,20.8261,1.38255,2.63203,2.63169,0.02744,1.48105,0,0,0,0,0,0,0,0,2.18512,3.7787,10.3242,0.07958,0,5.29798e-05,5.29798e-05,0.047053
7,22.2461,1.32011,2.71393,2.53702,0.02599,1.68135,0,0,0,0,0,0,0,0,1.94268,3.80839,10.8576,0.06557,0,6.19659e-05,6.19659e-05,0.038062
8,23.6506,1.24297,2.56287,2.42378,0.02527,1.51007,0.5,0.16667,0.1675,0.08375,0,0,0,0,1.94849,3.85975,10.2389,0.06934,0,7.09469e-05,7.09469e-05,0.0290709
9,25.0687,1.26733,2.47738,2.49104,0.02564,1.42841,0.26314,0.41667,0.2379,0.12937,0.00877,0.125,0.01531,0.00348,1.96467,3.8708,7.34433,0.0695,0,7.99219e-05,7.99219e-05,0.0200799
10,26.5377,1.22285,2.55715,2.40364,0.02646,1.48787,0.53966,0.41667,0.35224,0.23673,0.61445,0.125,0.04083,0.00817,1.54639,3.92864,6.39357,0.05459,0,8.889e-05,8.889e-05,0.0110889
11,27.9933,1.15477,2.47312,2.27568,0.02376,1.43094,0.7878,0.375,0.49,0.22077,0,0,0,0,1.64614,3.99124,6.58928,0.05492,0,9.78505e-05,9.78505e-05,0.00209785
12,29.4142,1.26238,2.46075,2.25311,0.02542,1.49916,1,0.35621,0.45625,0.2349,0,0,0,0,1.71732,3.6559,5.39084,0.05401,0,9.98154e-05,9.98154e-05,9.98154e-05
